Title,Company,Location,Description,Salary,Date
"Softwareentwickler Backend
(m/w/d)",conplement AG,Regensburg,"Backend-Entwicklung ist dein
Steckenpferd und Clean Code
dein Antrieb? Zudem findest du
immer einen geeigneten Weg, um
ans Ziel zu kommen?",,Vor > 30 Tagen geschaltet
"Softwareentwickler
Softwareentwicklerin",IST GmbH,93183 Kallmünz,"In Kallmünz – vor den Toren
Regensburgs – entwicklen. Wir
seit über 20 Jahren
ganzheitliche branchenspezi-.
Fische ERP- und CRM-Systeme
für unsere.",,Vor > 30 Tagen geschaltet
Softwareentwickler (m/w/d),SWH Softwarehaus Heider GmbH,93077 Bad Abbach,"Wir sind seit über 40 Jahren
erfolgreich am Markt. Unsere
Philosophie ist auf eine
langfristige und
partnerschaftliche
Zusammenarbeit mit
Mitarbeitenden und…",,Vor > 30 Tagen geschaltet
"Softwareentwickler (m/w/d)
Anwendungsentwickler",iS Software GmbH,93059 Regensburg,"Für die Standorte Regensburg,
Hannover oder Heidelberg
(remote möglich), in Vollzeit
oder Teilzeit.
Softwareentwickler (m/w/d)
Anwendungsentwickler.",,Vor > 30 Tagen geschaltet
"Softwareentwickler /
Informatiker /
Fachinformatiker mit
Schwerpunkt C# / .NET (m/w/d)","GEFASOFT Automatisierung und
Software GmbH...",Regensburg,"31.07.2023 Berufserfahrene IT
& Softwareentwicklung
Regensburg. Gestalte
Innovationen, erwecke Ideen
zum Leben und werde Teil
unseres IT- & Software-Teams!",,Vor 18 Tagen geschaltet
"Softwareentwickler (w/m/x) mit
Schwerpunkt Künstliche
Intelligenz / Automatisierung
in Voll- oder Teilzeit -
unbefristet",Labor Kneißler,93133 Burglengenfeld,"Wir suchen Sie zur
baldmöglichen Verstärkung
unseres Teams als.
Softwareentwickler (w/m/x) mit
Schwerpunkt Künstliche
Intelligenz / Automatisierung.",,Vor > 30 Tagen geschaltet
Softwareentwickler (m/w/d),GRODE Engineering GmbH & Co.KG,93073 Neutraubling,"Zur Verstärkung unseres Teams
benötigen wir Unterstützung
durch folgende qualifizierte
Mitarbeiter (m/w/d):
Softwareentwickler (m/w/d)
Steuerungstechnik.",,Vor > 30 Tagen geschaltet
"Junior Softwareentwickler -
C++ (m/w/d)",BHS Intralogistics GmbH,93073 Neutraubling,"Für unseren Standort in
Neutraubling (bei Regensburg)
suchen wir einen Junior
Softwareentwickler – C++
(m/w/d) in Vollzeit. Darauf
können Sie sich freuen:",,Vor > 30 Tagen geschaltet
"Softwareentwickler C# .NET
(m/w/d)","ROPA Fahrzeug- und
Maschinenbau GmbH",84097 Herrngiersdorf,"Entwicklung und Konzeption von
Softwarelösungen mit C# und .
Entwicklung von Software-
Schnittstellen zu bestehenden
Systemen (ERP / CRM / IoT).",,Vor > 30 Tagen geschaltet
"Embedded Entwickler /
Softwareentwickler (m/w/d)","ROPA Fahrzeug- und
Maschinenbau GmbH",84097 Herrngiersdorf,"Eigenverantwortliche
Entwicklung und Wartung von
Steuerungs- und
Assistenzsystemen für
Landmaschinen, Embedded
Systeme in C/C++.",,Vor > 30 Tagen geschaltet
"Softwareentwickler - SPS
(m/w/d)",BHS Intralogistics GmbH,93073 Neutraubling,"Als Teil eines agilen Teams
entwickeln, testen und
dokumentieren Sie Komponenten
unseres autonomen
Intralogistiksystems (Inhouse
Entwicklung).",,Vor > 30 Tagen geschaltet
Softwareentwickler (m/w/d),"ALPHA-ENGINEERING GmbH & Co.
KG",Regensburg,"Sie haben ein abgeschlossenes
Studium im Bereich Informatik,
Software Engineering, Embedded
Systems oder eine
entsprechende technische
Ausbildung z.B. zum…",,Vor 29 Tagen geschaltet
"Senior Softwareentwickler
Embedded Systems (m/w/d)",e.telligent GmbH,Regensburg,"Fachlicher Ansprechpartner des
Entwicklungsteams u.a. für die
Erstellung von Designs. Sehr
gute Programmierkenntnisse in
C/C++, MATLAB.",,Vor > 30 Tagen geschaltet
"Full Stack Softwareentwickler
(Web/IoT) (m/w/d)","ROPA Fahrzeug- und
Maschinenbau GmbH",84097 Herrngiersdorf,"Frontend Webentwicklung für
die ROPA Kundenportale,
myROPA/R-Connect
Telematikportale, etc. Backend
Entwicklung von Software-
Komponenten für IoT-
Anwendungen in…",,Vor > 30 Tagen geschaltet
"Softwareentwickler*
Elektromobilität",Valentum Engineering GmbH,93051 Regensburg,"Als Softwareentwickler* im
Bereich Elektromobilität
nimmst du an spannenden
Projekten teil in Bezug auf
die weitere Entwicklung im
Automotive.",,Vor > 30 Tagen geschaltet
Softwareentwickler C++ (m/w/d),"ALPHA-ENGINEERING GmbH & Co.
KG",Regensburg,"Studium der Elektrotechnik,
Informatik, Technischen
Informatik oder vergleichbare
Qualifikation. Erste Erfahrung
in der Embedded
Softwareprogrammierung für…",,Vor > 30 Tagen geschaltet
"Softwareentwickler AUTOSAR
(m/w/d)","Tempton Next Level Experts
GmbH",93055 Regensburg,"Fundierte Kenntnisse in C/C++
für die Softwareentwicklung
auf eingebetteten Systemen.
Langjährige Praxis mit AUTOSAR
und Echtzeitbetriebssystemen.",,Vor 10 Tagen geschaltet
